state,value
Duchy of Modena and Reggio,0.4
Duchy of Parma,1.2
Papal States,90.6
Kingdom of Sardinia,27.0
Grand Duchy of Tuscany,85.2
Kingdom of Lombardy Venetia,20.8
Kingdom of the Two Sicilies,443.2
